,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA50d,Signal,Return,Strategy
86,86,86,86,86,2023-05-08,171.02236938476562,171.3673772990156,169.65221959190652,170.01693107088172,55962800,157.98781219482422,1,-0.00040338385813520894,-0.00040338385813520894
87,87,87,87,87,2023-05-09,169.31707763671875,171.06179068201072,169.14950709207488,170.57879765359286,45326900,158.45800048828124,1,-0.00997116198413972,-0.00997116198413972
88,88,88,88,88,2023-05-10,171.08152770996094,171.54481722364216,169.4452292165715,170.54924563088602,53724500,158.97353179931642,1,0.010420981143012265,0.010420981143012265
89,89,89,89,89,2023-05-11,171.26882934570312,172.09683043603525,169.71139012861647,171.36740735017244,49514700,159.53420959472658,1,0.0010948092307179191,0.0010948092307179191
90,90,90,90,90,2023-05-12,170.34097290039062,171.81171738299747,168.79124488441096,171.3773983196224,45533100,160.0645016479492,1,-0.005417544154748932,-0.005417544154748932
91,91,91,91,91,2023-05-15,169.84742736816406,170.97270170588305,169.25517137496644,170.92334452950067,37266700,160.48398559570313,1,-0.0028973976361821308,-0.0028973976361821308
92,92,92,92,92,2023-05-16,169.84742736816406,170.9035986466086,169.58091066505557,169.76845889829133,42110300,160.84826873779298,1,0.0,0.0
93,93,93,93,93,2023-05-17,170.45938110351562,170.6962714054677,168.21869827349877,169.49204389326178,57951600,161.26875396728516,1,0.0036029614627313133,0.0036029614627313133
94,94,94,94,94,2023-05-18,172.7889404296875,172.97648867280256,170.3508433925847,170.76541658498283,65496700,161.71079284667968,1,0.013666360343976613,0.013666360343976613
95,95,95,95,95,2023-05-19,172.89752197265625,174.11163026725697,172.68036243226308,174.11163026725697,55809500,162.19995300292967,1,0.0006284056300058793,0.0006284056300058793
96,96,96,96,96,2023-05-22,171.94989013671875,172.45331220735133,171.2095777379714,171.73273062815065,43570900,162.71136322021485,1,-0.005480887320567618,-0.005480887320567618
97,97,97,97,97,2023-05-23,169.34397888183594,171.1404774028389,169.0675968111729,170.89370662105455,50747300,163.1318179321289,1,-0.015155062052152668,-0.015155062052152668
98,98,98,98,98,2023-05-24,169.620361328125,170.19287135053577,168.3174194294986,168.88004898113246,45143500,163.5160055541992,1,0.0016320771964495329,0.0016320771964495329
99,99,99,99,99,2023-05-25,170.7555389404297,171.65377326209193,169.47232768730396,170.18302884098296,56058300,163.91501098632813,1,0.006692460760113095,0.006692460760113095
100,100,100,100,100,2023-05-26,173.16403198242188,173.499651782114,170.87400634832463,171.08130048749632,54835000,164.30580352783204,1,0.014104918979128467,0.014104918979128467
101,101,101,101,101,2023-05-30,175.00985717773438,176.67803022234617,174.28929064745816,174.6742524991613,55964400,164.75026947021485,1,0.010659402961348707,0.010659402961348707
102,102,102,102,102,2023-05-31,174.96047973632812,177.03336027410137,174.47680359439627,175.0394481918492,99625300,165.14643310546876,1,-0.00028214091596057145,-0.00028214091596057145
103,103,103,103,103,2023-06-01,177.76380920410156,177.79342049505456,174.64462268903534,175.40468096744894,68901800,165.56160064697266,1,0.01602264392506325,0.01602264392506325
104,104,104,104,104,2023-06-02,178.6127166748047,179.43199760539318,176.94454352013497,178.69168514468382,61996900,166.02233123779297,1,0.004775479747558986,0.004775479747558986
105,105,105,105,105,2023-06-05,177.26039123535156,182.5610228518948,175.7402747725204,180.2709978101985,121946500,166.43433044433593,1,-0.00757127188158313,-0.00757127188158313
